name,,IPSLexmin,PISLexmin,IPSBuggy,PISBuggy,IPSLongest,PISLongest,IPSMinimal,PISMinimal,IPS_RandomInfix,PIS_RandomInfix
StreamConstructor_CoolingCycles_Dry,19,1,1,1,1,1,1,1,1,1,1
StreamConstructor_EmptyChucks_Dry,19,1,1,1,1,1,1,1,1,1,1
WLT_PredictionValidator,19,1,1,1,1,1,1,1,1,1,1
WaferPrealign,19,1,1,1,1,1,1,1,1,1,1
StreamConstructor_NoCoolingCycles_Dry,19,1,1,1,1,1,1,1,1,1,1
RLT_RecorderMeasure,20,0,0,1,0,1,1,1,1,1,1
WLT_ExposeSideRecorder_NXT,20,1,1,1,1,1,1,1,1,1,1
WTCLArmor,21,1,1,1,1,1,1,1,1,1,1
WLT_MeasureSideEventFeeder,22,1,1,1,1,1,1,1,1,1,1
LotFinishedSynchronizer,23,1,1,1,1,1,1,1,1,1,1
PostProcessIntegrityController,24,1,1,1,1,1,1,1,1,1,1
StreamConstructor_ExtraConditioning_NXT,25,0,0,1,1,1,1,1,1,1,1
StreamConstructor_PED_Dry,25,0,0,1,1,1,1,1,1,1,1
ClosingRequest,27,0,0,1,0,1,1,1,1,1,1
LOPW_wtc,27,1,1,1,1,1,1,1,1,1,1
OutputProtocol,27,0,0,1,0,1,0,1,0,1,1
StreamConstructor_InlineAction_Dry,27,0,0,1,0,1,1,1,1,1,1
WLT_ExposeSideDataCollector_NXT,27,0,0,1,1,1,1,0,0,1,1
StreamConstructor_NextRequestTimeout_NXT,27,1,1,1,1,1,1,1,1,1,1
WLT_ExposeSideRecorder_NXE,28,0,0,1,1,1,1,1,1,1,1
StreamConstructor_Pause_Dry,28,0,0,1,1,1,1,1,1,1,1
StreamConstructor_IdleChucks_Dry,29,0,0,1,1,1,1,1,1,1,1
StreamConstructor_Pause_NXT,30,0,0,1,1,1,1,1,1,1,1
LotQueueIntegrityController,30,0,0,1,1,1,1,1,1,1,1
StreamConstructor_MActions_Inline_Dry,30,1,1,1,1,1,1,1,1,1,1
LotWaferProperties,31,0,0,1,0,1,1,1,1,1,1
StreamConstructor_EmptyChucks_NXT,31,1,1,1,1,1,1,1,1,1,1
StreamConstructor_FinishLot_Dry,31,0,0,1,1,1,1,1,1,1,1
StreamConstructor_NoCoolingCyclesPost_NXT,32,1,0,1,1,1,1,1,1,1,1
ResyncControllerInput_Mactions_NXT,33,0,0,0,0,0,0,0,0,1,1
StreamConstructor_StartStream_Dry,33,1,0,1,1,1,1,1,1,1,1
ResyncControllerInput,35,0,0,0,0,0,0,0,0,0,0
RLT_Recorder,35,0,0,1,1,1,1,1,1,1,1
WLT_SyncSwapArmor,36,1,0,1,1,1,1,1,1,1,1
StreamConstructor_FinishLot_Dynamic_Dry,37,0,0,1,1,1,1,1,1,1,1
StreamConstructor_MActions_Dry,37,0,0,1,0,1,1,1,1,1,1
StreamConstructor_FinishLot_NXT,41,0,0,1,1,1,1,1,1,1,1
StreamConstructor_RequestTimeout_NXT,43,0,0,1,1,1,1,1,1,1,1
StreamConstructor_IdleChucks_NXT,43,0,0,1,1,1,1,1,1,1,1
ResyncControllerChucks_Init_Dry,44,0,0,1,1,1,1,1,1,1,1
RLT_PredictorExposeSide,44,0,0,1,0,1,1,1,1,1,1
OutputListNoEvent,46,0,0,1,0,1,1,1,1,1,1
ResyncControllerInput_Closing_NXT,46,0,0,1,1,1,1,1,1,1,1
PostProcessListNoEvent,46,0,1,1,1,1,1,1,1,1,1
LotPostProcessor,47,0,0,1,0,0,0,1,1,1,1
StreamConstructor_DualChuckExpose_Dry,47,0,0,1,1,0,0,1,1,1,1
RLT_RecorderSwap,49,0,0,1,1,1,1,1,1,1,1
StreamConstructor_FinishLot_Dynamic_NXT,53,0,0,1,0,1,1,1,1,1,1
LotController,54,0,0,0,0,0,0,0,0,1,1
InputListNoEvent,55,0,0,1,0,1,1,1,1,1,1
StreamConstructor_CoolingCyclesPost_NXT,57,0,0,1,0,1,1,0,0,1,1
LotLogisticsConnection_EndOfLot,58,0,0,1,0,1,1,0,0,0,0
StreamConstructor_StartStream_NXT,61,0,0,1,0,1,1,1,1,1,1
LotUnprepareArmor,63,1,1,1,1,1,1,1,1,1,1
MActionsArmor,64,1,1,1,1,1,1,1,1,1,1
LotQueueController,68,0,0,0,0,0,0,0,0,0,0
LoadListNoEvent,73,0,0,1,0,1,1,1,1,1,1
LotPrepareUnprepareIntegrityController,76,0,0,0,0,0,0,0,0,0,0
StreamConstructor_ClosingWaferRefresh_NXT,77,0,0,0,0,1,1,0,0,1,1
StreamConstructor_WTC_Dry,80,0,0,1,0,1,1,1,1,1,1
StreamConstructor_ReticleHeating_NXT,81,0,0,1,0,1,1,1,1,1,1
RecoveryProtocol,82,0,0,0,0,0,0,0,0,0,0
LOQMIdleBusyReporter,89,1,1,1,1,1,1,1,1,1,1
InputPathArmor,91,0,0,0,0,0,1,0,1,1,1
LotUnprepareListNoEvent,91,0,0,1,0,1,1,1,1,1,1
LotPrepareListNoEvent,91,0,0,1,0,1,1,1,1,1,1
LotPreprocessListNoEvent,91,0,0,1,0,1,1,1,1,1,1
LotProcessListNoEvent,91,0,0,1,0,1,1,1,1,1,1
LotProcessingListNoEvent,91,0,0,1,0,1,1,1,1,1,1
LotStreamConstructor_EndOfStream,92,0,0,1,0,0,0,1,1,0,0
StreamConstructor_MActions_Inline_NXT,92,0,0,1,1,1,1,1,1,1,1
ProductionRequest,95,0,0,0,0,0,0,0,0,0,0
StreamConstructor_MActions_NXT,95,0,0,1,0,0,1,1,1,1,1
LogisticsController,107,0,0,0,0,0,0,0,0,0,0
StreamConstructor_CTC_BESWetting_NXT,112,0,0,1,0,0,0,0,0,1,1
StreamConstructor_WTCNonStreaming_NXT,113,0,0,0,0,0,0,0,0,1,1
CTCAssignment,121,0,0,0,0,0,0,0,0,0,0
ReuseCapacity_GetRequestMethod,122,0,0,0,0,0,0,0,0,0,0
StreamConstructor_CTC_Full_NXT,139,0,0,0,0,0,0,0,0,1,1
WaferPostProcessor,141,0,0,0,0,0,0,0,0,0,0
LotPreprocessorArmor,159,0,0,1,1,1,1,1,1,1,1
WaferStageOutputArmor,160,0,0,1,0,1,0,1,0,0,0
StreamConstructor_RMSpecificChuck_NXT,163,0,0,0,0,0,0,0,0,0,0
StreamConstructor_WTC_NXT,163,0,0,1,0,0,0,0,0,0,0
PostProcessProtocol,175,0,0,0,0,0,0,0,0,0,0
RecoveryArmor,189,0,0,0,0,0,0,0,0,0,0
WLT_LoadTimingPredictor,189,0,0,0,0,0,0,0,0,0,0
ResyncControllerInput_Production_NXT,284,0,0,0,0,0,0,0,0,0,0
MActions,324,0,0,0,0,0,0,0,0,0,0
LOPW,353,0,0,0,0,0,0,0,0,0,0
RLT_WorkInProgressMonitor,358,0,0,0,0,0,0,0,0,0,0
LotStreamConstructor_BeforeFirstWafer_Armor,512,0,0,1,0,1,1,0,1,1,1
LogisticsInitializer,546,0,0,0,0,0,0,0,0,1,1
RequestListController,558,0,0,0,0,0,0,0,0,0,0
MiscActionsIntegrityController,574,0,0,0,0,0,0,0,0,0,0
LotProcessStateController,609,0,0,0,0,0,0,0,0,0,0
MX,619,0,0,0,0,0,0,0,0,0,0
WaferExposeAdapter,668,0,0,0,0,0,0,0,0,0,0
LotUnprepareListController,682,0,0,0,0,0,0,0,0,0,0
LotPrepareListController,682,0,0,0,0,0,0,0,0,0,0
LotPreprocessListController,682,0,0,0,0,0,0,0,0,0,0
LotProcessListController,682,0,0,0,0,0,0,0,0,0,0
LotProcessingListController,682,0,0,0,0,0,0,0,0,0,0
LotPrepareUnprepare,695,0,0,0,0,0,0,0,0,0,0
LotPrepareArmor2,763,0,0,1,0,1,1,0,1,1,1
LotPrepareArmor1,767,0,0,1,0,0,0,1,1,1,1
PostProcessListController,779,0,0,0,0,0,0,0,0,0,0
StreamConstructIntegrityController_Dry,1089,0,0,0,0,0,0,0,0,0,0
InputListController,1593,0,0,0,0,0,0,0,0,0,0
UnloadListController,1713,0,0,0,0,0,0,0,0,0,0
LoadListController,2127,0,0,0,0,0,0,0,0,0,0
StreamConstructIntegrityController_NXT,2593,0,0,0,0,0,0,0,0,0,0
OutputListController,3113,0,0,0,0,0,0,0,0,0,0
WaferMeasureAdapter,4645,0,0,0,0,0,0,0,0,0,0
RequestInputIntegrityController,6574,0,0,0,0,0,0,0,0,0,0
MXArmor,8446,0,0,0,0,0,0,0,0,0,0
